file,loc,noc,bf,bug,buggy
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,N
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,N
internal::compiler::ast::ASTNode ,484,119,55,1,Y
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,N
internal::eval::CodeSnippetParser ,673,92,15,0,N
internal::formatter::Location ,16,15,13,0,N
core::dom::SingleMemberAnnotation ,87,29,5,0,N
internal::compiler::parser::NLSTag ,9,6,6,0,N
internal::compiler::parser::RecoveredBlock ,250,51,7,0,N
internal::core::CompilationUnitElementInfo ,9,22,1,0,N
core::dom::MemberRef ,95,24,3,0,N
internal::core::util::Annotation ,42,10,1,0,N
internal::codeassist::select::SelectionOnQualifiedNameReference ,42,31,4,0,N
internal::compiler::flow::LoopingFlowContext ,387,51,11,0,N
internal::core::util::KeyKind ,53,12,7,0,N
core::dom::ChildListPropertyDescriptor ,14,8,1,0,N
internal::compiler::ast::TypeDeclaration ,624,192,60,3,Y
core::dom::ASTRequestor ,20,11,2,0,N
internal::core::search::AbstractJavaSearchScope ,0,0,1,0,N
core::search::SearchPattern ,1126,90,37,1,Y
core::jdom::DOMFactory ,52,34,3,0,N
internal::core::util::SignatureAttribute ,16,5,0,0,N
internal::core::BinaryMember ,127,42,10,1,Y
internal::compiler::ast::MessageSend ,494,167,37,4,Y
internal::core::XMLWriter ,3,19,4,0,N
internal::compiler::parser::JavadocParser ,795,91,59,3,Y
internal::eval::CodeSnippetSingleNameReference ,591,75,16,2,Y
internal::compiler::parser::RecoveredInitializer ,166,53,6,0,N
internal::core::util::WeakHashSetOfCharArray ,144,3,1,0,N
internal::compiler::ast::Expression ,760,148,57,0,N
internal::compiler::classfmt::MethodInfoWithAnnotations ,35,1,0,0,N
internal::core::util::ConstantPool ,72,9,0,0,N
internal::compiler::ast::ArrayTypeReference ,52,46,4,0,N
internal::compiler::impl::IntConstant ,55,36,1,0,N
internal::core::search::matching::SuperTypeReferencePattern ,214,81,11,1,Y
internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,32,28,0,0,N
core::dom::SuperFieldAccess ,96,38,10,0,N
