file,loc,noc,bf,bug
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,internal core search indexing index binary folder 
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,internal compiler codegen cached index entry 
internal::compiler::ast::ASTNode ,484,119,55,1,internal compiler ast node 
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,internal compiler lookup member type binding 
internal::eval::CodeSnippetParser ,673,92,15,0,internal eval code snippet parser 
internal::formatter::Location ,16,15,13,0,internal formatter location 
core::dom::SingleMemberAnnotation ,87,29,5,0,core dom single member annotation 
internal::compiler::parser::NLSTag ,9,6,6,0,internal compiler parser tag 
internal::compiler::parser::RecoveredBlock ,250,51,7,0,internal compiler parser recovered block 
internal::core::CompilationUnitElementInfo ,9,22,1,0,internal core compilation unit element info 
core::dom::MemberRef ,95,24,3,0,core dom member ref 
internal::core::util::Annotation ,42,10,1,0,internal core util annotation 
internal::codeassist::select::SelectionOnQualifiedNameReference ,42,31,4,0,internal codeassist select selection on qualified name reference 
internal::compiler::flow::LoopingFlowContext ,387,51,11,0,internal compiler flow looping flow context 
internal::core::util::KeyKind ,53,12,7,0,internal core util key kind 
core::dom::ChildListPropertyDescriptor ,14,8,1,0,core dom child list property descriptor 
internal::compiler::ast::TypeDeclaration ,624,192,60,3,internal compiler ast type declaration 
core::dom::ASTRequestor ,20,11,2,0,core dom requestor 
internal::core::search::AbstractJavaSearchScope ,0,0,1,0,internal core search abstract java search scope 
core::search::SearchPattern ,1126,90,37,1,core search search pattern 
core::jdom::DOMFactory ,52,34,3,0,core jdom factory 
internal::core::util::SignatureAttribute ,16,5,0,0,internal core util signature attribute 
internal::core::BinaryMember ,127,42,10,1,internal core binary member 
internal::compiler::ast::MessageSend ,494,167,37,4,internal compiler ast message send 
internal::core::XMLWriter ,3,19,4,0,internal core writer 
internal::compiler::parser::JavadocParser ,795,91,59,3,internal compiler parser javadoc parser 
internal::eval::CodeSnippetSingleNameReference ,591,75,16,2,internal eval code snippet single name reference 
internal::compiler::parser::RecoveredInitializer ,166,53,6,0,internal compiler parser recovered initializer 
internal::core::util::WeakHashSetOfCharArray ,144,3,1,0,internal core util weak hash set of char array 
internal::compiler::ast::Expression ,760,148,57,0,internal compiler ast expression 
internal::compiler::classfmt::MethodInfoWithAnnotations ,35,1,0,0,internal compiler classfmt method info with annotations 
internal::core::util::ConstantPool ,72,9,0,0,internal core util constant pool 
internal::compiler::ast::ArrayTypeReference ,52,46,4,0,internal compiler ast array type reference 
internal::compiler::impl::IntConstant ,55,36,1,0,internal compiler impl int constant 
internal::core::search::matching::SuperTypeReferencePattern ,214,81,11,1,internal core search matching super type reference pattern 
internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,32,28,0,0,internal codeassist complete completion on qualified allocation expression 
core::dom::SuperFieldAccess ,96,38,10,0,core dom super field access 
internal::core::ExternalPackageFragmentRoot ,56,6,5,0,internal core external package fragment root 
internal::compiler::lookup::MethodScope ,378,88,24,1,internal compiler lookup method scope 
internal::compiler::CompilationResult ,245,80,22,1,internal compiler compilation result 
internal::core::util::KeyToSignature ,258,31,18,0,internal core util key to signature 
internal::core::jdom::DOMType ,419,57,11,0,internal core jdom type 
internal::compiler::ast::ForStatement ,343,85,18,0,internal compiler ast for statement 
internal::compiler::lookup::MissingTypeBinding ,34,1,1,0,internal compiler lookup missing type binding 
internal::compiler::ast::TrueLiteral ,39,23,2,0,internal compiler ast true literal 
internal::codeassist::complete::CompletionOnKeyword3 ,21,10,2,0,internal codeassist complete completion on keyword 
