file,loc,noc,bf,bug,buggy,document,topic0,topic1,topic2,topic3,topic4,internal::compiler::env,internal,internal::core::index,core::dom,internal::compiler::lookup,internal::antadapter,internal::formatter::old,internal::core::dom,internal::codeassist::impl,internal::core::search::indexing,internal::compiler::flow,internal::codeassist::complete,internal::core::builder,internal::compiler::batch,internal::codeassist,internal::codeassist::select,internal::core::search::processing,internal::core::search,internal::core::search::matching,internal::compiler::codegen,internal::compiler,internal::formatter::align,internal::compiler::impl,internal::core::hierarchy,internal::core::eval,internal::compiler::parser,internal::compiler::classfmt,internal::compiler::problem,internal::compiler::parser::diagnose,internal::core::jdom,core::dom::rewrite,core::formatter,core::compiler,internal::formatter::comment,core::util,core::compiler::batch,core,internal::core::dom::rewrite,internal::formatter,internal::compiler::ast,internal::core,internal::core::util,internal::compiler::util,core::jdom,internal::eval,core::search
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,N,internal core search indexing index binary folder ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,N,internal compiler codegen cached index entry ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::ast::ASTNode ,484,119,55,1,Y,internal compiler ast node ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,N,internal compiler lookup member type binding ,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::eval::CodeSnippetParser ,673,92,15,0,N,internal eval code snippet parser ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
internal::formatter::Location ,16,15,13,0,N,internal formatter location ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
core::dom::SingleMemberAnnotation ,87,29,5,0,N,core dom single member annotation ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
internal::compiler::parser::NLSTag ,9,6,6,0,N,internal compiler parser tag ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::compiler::parser::RecoveredBlock ,250,51,7,0,N,internal compiler parser recovered block ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internal::core::CompilationUnitElementInfo ,9,22,1,0,N,internal core compilation unit element info ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
