file,loc,noc,bf,bug,document,topic,topic0,topic1,topic2,topic3,topic4
internal::core::search::indexing::IndexBinaryFolder ,122,64,3,0,internal core search indexing index binary folder ,4,0,0,0,0,1
internal::compiler::codegen::CachedIndexEntry ,4,1,0,0,internal compiler codegen cached index entry ,0,1,0,0,0,0
internal::compiler::ast::ASTNode ,484,119,55,1,internal compiler ast node ,0,1,0,0,0,0
internal::compiler::lookup::MemberTypeBinding ,33,27,3,0,internal compiler lookup member type binding ,0,1,0,0,0,0
internal::eval::CodeSnippetParser ,673,92,15,0,internal eval code snippet parser ,3,0,0,0,1,0
internal::formatter::Location ,16,15,13,0,internal formatter location ,2,0,0,1,0,0
core::dom::SingleMemberAnnotation ,87,29,5,0,core dom single member annotation ,1,0,1,0,0,0
internal::compiler::parser::NLSTag ,9,6,6,0,internal compiler parser tag ,0,1,0,0,0,0
internal::compiler::parser::RecoveredBlock ,250,51,7,0,internal compiler parser recovered block ,0,1,0,0,0,0
internal::core::CompilationUnitElementInfo ,9,22,1,0,internal core compilation unit element info ,2,0,0,1,0,0
core::dom::MemberRef ,95,24,3,0,core dom member ref ,1,0,1,0,0,0
internal::core::util::Annotation ,42,10,1,0,internal core util annotation ,4,0,0,0,0,1
internal::codeassist::select::SelectionOnQualifiedNameReference ,42,31,4,0,internal codeassist select selection on qualified name reference ,0,1,0,0,0,0
internal::compiler::flow::LoopingFlowContext ,387,51,11,0,internal compiler flow looping flow context ,2,0,0,1,0,0
internal::core::util::KeyKind ,53,12,7,0,internal core util key kind ,1,0,1,0,0,0
core::dom::ChildListPropertyDescriptor ,14,8,1,0,core dom child list property descriptor ,1,0,1,0,0,0
internal::compiler::ast::TypeDeclaration ,624,192,60,3,internal compiler ast type declaration ,0,1,0,0,0,0
core::dom::ASTRequestor ,20,11,2,0,core dom requestor ,1,0,1,0,0,0
internal::core::search::AbstractJavaSearchScope ,0,0,1,0,internal core search abstract java search scope ,2,0,0,1,0,0
core::search::SearchPattern ,1126,90,37,1,core search search pattern ,4,0,0,0,0,1
core::jdom::DOMFactory ,52,34,3,0,core jdom factory ,2,0,0,1,0,0
internal::core::util::SignatureAttribute ,16,5,0,0,internal core util signature attribute ,1,0,1,0,0,0
internal::core::BinaryMember ,127,42,10,1,internal core binary member ,1,0,1,0,0,0
internal::compiler::ast::MessageSend ,494,167,37,4,internal compiler ast message send ,0,1,0,0,0,0
internal::core::XMLWriter ,3,19,4,0,internal core writer ,1,0,1,0,0,0
internal::compiler::parser::JavadocParser ,795,91,59,3,internal compiler parser javadoc parser ,0,1,0,0,0,0
internal::eval::CodeSnippetSingleNameReference ,591,75,16,2,internal eval code snippet single name reference ,3,0,0,0,1,0
internal::compiler::parser::RecoveredInitializer ,166,53,6,0,internal compiler parser recovered initializer ,0,1,0,0,0,0
internal::core::util::WeakHashSetOfCharArray ,144,3,1,0,internal core util weak hash set of char array ,1,0,1,0,0,0
internal::compiler::ast::Expression ,760,148,57,0,internal compiler ast expression ,0,1,0,0,0,0
internal::compiler::classfmt::MethodInfoWithAnnotations ,35,1,0,0,internal compiler classfmt method info with annotations ,0,1,0,0,0,0
internal::core::util::ConstantPool ,72,9,0,0,internal core util constant pool ,1,0,1,0,0,0
internal::compiler::ast::ArrayTypeReference ,52,46,4,0,internal compiler ast array type reference ,0,1,0,0,0,0
internal::compiler::impl::IntConstant ,55,36,1,0,internal compiler impl int constant ,0,1,0,0,0,0
internal::core::search::matching::SuperTypeReferencePattern ,214,81,11,1,internal core search matching super type reference pattern ,4,0,0,0,0,1
internal::codeassist::complete::CompletionOnQualifiedAllocationExpression ,32,28,0,0,internal codeassist complete completion on qualified allocation expression ,3,0,0,0,1,0
core::dom::SuperFieldAccess ,96,38,10,0,core dom super field access ,1,0,1,0,0,0
