identifier,accuracy,precision,recall,Fscore,tp,fp,tn,fn
index,0.7853560447692871,0.25,0.019417475908994675,0.03603603634745954,4,12,779,202
binary,0.7873620986938477,0.3125,0.02427184395492077,0.04504504383049337,5,11,780,201
folder,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
cached,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
entry,0.7843530774116516,0.09090909361839294,0.004854368977248669,0.009216589957159849,1,10,781,205
node,0.7813440561294556,0.0714285746216774,0.004854368977248669,0.00909090919604848,1,13,778,205
member,0.7773320078849792,0.10000000149011612,0.009708737954497337,0.017699115217835987,2,18,773,204
type,0.7342026233673096,0.2293577939271927,0.12135922163724899,0.15873015629221013,25,84,707,181
binding,0.7733199596405029,0.31481480598449707,0.08252426981925964,0.13076922746452355,17,37,754,189
code,0.7923771142959595,0.48275861144065857,0.06796116381883621,0.11914893399865015,14,15,776,192
snippet,0.7893680930137634,0.3888888955116272,0.033980581909418106,0.06249999904551315,7,11,780,199
parser,0.7903711199760437,0.4285714328289032,0.04368932172656059,0.07929515646202609,9,12,779,197
location,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
single,0.7813440561294556,0.1666666716337204,0.014563106931746006,0.026785714579276906,3,15,776,203
annotation,0.7683049440383911,0.12121212482452393,0.019417475908994675,0.03347280375371595,4,29,762,202
tag,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
recovered,0.7803410291671753,0.0,0.0,0.0,0,13,778,206
block,0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
compilation,0.7833500504493713,0.27272728085517883,0.029126213863492012,0.05263157954159178,6,16,775,200
unit,0.7823470234870911,0.21052631735801697,0.019417475908994675,0.03555555588109993,4,15,776,202
element,0.7652958631515503,0.0625,0.009708737954497337,0.01680672282455508,2,30,761,204
info,0.7522567510604858,0.04444444552063942,0.009708737954497337,0.01593625517107169,2,43,748,204
ref,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
selection,0.7723169326782227,0.07999999821186066,0.009708737954497337,0.01731601741794426,2,23,768,204
on,0.7402206659317017,0.0181818176060915,0.004854368977248669,0.007662835254237347,1,54,737,205
qualified,0.7813440561294556,0.25,0.029126213863492012,0.05217391347868231,6,18,773,200
name,0.7632898688316345,0.125,0.02427184395492077,0.04065040551493878,5,35,756,201
reference,0.7683049440383911,0.3333333432674408,0.12135922163724899,0.17793594268759644,25,50,741,181
looping,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
flow,0.7883650660514832,0.27272728085517883,0.014563106931746006,0.027649769871479546,3,8,783,203
context,0.7893680930137634,0.375,0.029126213863492012,0.05405405452118932,6,10,781,200
key,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
kind,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
child,0.791374146938324,0.0,0.0,0.0,0,2,789,206
list,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
property,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
descriptor,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
declaration,0.7683049440383911,0.2549019753932953,0.06310679763555527,0.10116731827765399,13,38,753,193
requestor,0.7783349752426147,0.10526315867900848,0.009708737954497337,0.017777777940549966,2,17,774,204
abstract,0.7873620986938477,0.20000000298023224,0.009708737954497337,0.018518518695776417,2,8,783,204
java,0.779338002204895,0.29411765933036804,0.04854368790984154,0.08333333174749791,10,24,767,196
search,0.7883650660514832,0.3684210479259491,0.033980581909418106,0.06222222112431938,7,12,779,199
scope,0.7963891625404358,0.6363636255264282,0.033980581909418106,0.0645161278683669,7,4,787,199
pattern,0.8104313015937805,0.8399999737739563,0.10194174945354462,0.18181818419517404,21,4,787,185
factory,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
signature,0.7893680930137634,0.1666666716337204,0.004854368977248669,0.00943396235748213,1,5,786,205
attribute,0.7753259539604187,0.05000000074505806,0.004854368977248669,0.008849557608917993,1,19,772,205
message,0.7893680930137634,0.25,0.009708737954497337,0.018691588952618087,2,6,785,204
send,0.7903711199760437,0.2857142984867096,0.009708737954497337,0.018779342919742453,2,5,786,204
writer,0.791374146938324,0.0,0.0,0.0,0,2,789,206
javadoc,0.7693079113960266,0.125,0.019417475908994675,0.03361344564911016,4,28,763,202
initializer,0.779338002204895,0.0,0.0,0.0,0,14,777,206
weak,0.791374146938324,0.0,0.0,0.0,0,2,789,206
hash,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
set,0.7783349752426147,0.05882352963089943,0.004854368977248669,0.008968609945177036,1,16,775,205
of,0.7813440561294556,0.20000000298023224,0.019417475908994675,0.035398230435671973,4,16,775,202
char,0.7853560447692871,0.0,0.0,0.0,0,8,783,206
array,0.7733199596405029,0.0,0.0,0.0,0,20,771,206
expression,0.7693079113960266,0.14705882966518402,0.02427184395492077,0.041666665873748954,5,29,762,201
method,0.7703109383583069,0.24444444477558136,0.05339805781841278,0.08764940182704138,11,34,757,195
with,0.7893680930137634,0.0,0.0,0.0,0,4,787,206
annotations,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
constant,0.779338002204895,0.0625,0.004854368977248669,0.009009009086864885,1,15,776,205
pool,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
int,0.7853560447692871,0.0,0.0,0.0,0,8,783,206
super,0.7883650660514832,0.27272728085517883,0.014563106931746006,0.027649769871479546,3,8,783,203
completion,0.7562687993049622,0.16363635659217834,0.04368932172656059,0.06896551828304526,9,46,745,197
allocation,0.791374146938324,0.375,0.014563106931746006,0.028037383428927136,3,5,786,203
field,0.7753259539604187,0.21875,0.033980581909418106,0.058823528490504436,7,25,766,199
access,0.7833500504493713,0.0,0.0,0.0,0,10,781,206
external,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
package,0.7773320078849792,0.23333333432674408,0.033980581909418106,0.059322032993469415,7,23,768,199
fragment,0.7813440561294556,0.125,0.009708737954497337,0.01801801817372977,2,14,777,204
root,0.7893680930137634,0.25,0.009708737954497337,0.018691588952618087,2,6,785,204
