root of term,terms,accuracy,precision,recall,Fscore,tp,fp,tn,fn
pattern,[pattern],0.8104313015937805,0.8399999737739563,0.10194174945354462,0.18181818419517404,21,4,787,185
refer,[reference],0.7683049440383911,0.3333333432674408,0.12135922163724899,0.17793594268759644,25,50,741,181
type,[type; types],0.7342026233673096,0.23423422873020172,0.12621359527111053,0.16403785610583563,26,85,706,180
bind,[binding],0.7733199596405029,0.31481480598449707,0.08252426981925964,0.13076922746452355,17,37,754,189
code,[code],0.7923771142959595,0.48275861144065857,0.06796116381883621,0.11914893399865015,14,15,776,192
locat,[location; locator],0.7973921895027161,0.5909090638160706,0.06310679763555527,0.11403508969488305,13,9,782,193
declar,[declaration],0.7683049440383911,0.2549019753932953,0.06310679763555527,0.10116731827765399,13,38,753,193
method,[method; methods],0.7713139653205872,0.260869562625885,0.058252427726984024,0.0952380957904594,12,34,757,194
java,[java],0.779338002204895,0.29411765933036804,0.04854368790984154,0.08333333174749791,10,24,767,196
parser,[parser],0.7903711199760437,0.4285714328289032,0.04368932172656059,0.07929515646202609,9,12,779,197
complet,[completion],0.7562687993049622,0.16363635659217834,0.04368932172656059,0.06896551828304526,9,46,745,197
match,[match; matching],0.7833500504493713,0.3076923191547394,0.03883495181798935,0.06896551809961354,8,18,773,198
compil,[compilation; compiler],0.7813440561294556,0.2857142984867096,0.03883495181798935,0.06837606930242443,8,20,771,198
field,[field; fields],0.776328980922699,0.24242424964904785,0.03883495181798935,0.0669456075074319,8,25,766,198
intern,[internal],0.7983951568603516,0.7777777910232544,0.033980581909418106,0.06511627798727745,7,2,789,199
scope,[scope],0.7963891625404358,0.6363636255264282,0.033980581909418106,0.0645161278683669,7,4,787,199
snippet,[snippet],0.7893680930137634,0.3888888955116272,0.033980581909418106,0.06249999904551315,7,11,780,199
search,[search],0.7883650660514832,0.3684210479259491,0.033980581909418106,0.06222222112431938,7,12,779,199
packag,[package],0.7773320078849792,0.23333333432674408,0.033980581909418106,0.059322032993469415,7,23,768,199
name,[name; naming; named; names],0.7632898688316345,0.15909090638160706,0.033980581909418106,0.05599999899721145,7,37,754,199
context,[context],0.7893680930137634,0.375,0.029126213863492012,0.05405405452118932,6,10,781,200
qualifi,[qualified],0.7813440561294556,0.25,0.029126213863492012,0.05217391347868231,6,18,773,200
statement,[statement],0.7632898688316345,0.1428571492433548,0.029126213863492012,0.04838709751484212,6,36,755,200
engin,[engine],0.7973921895027161,0.8333333134651184,0.02427184395492077,0.04716980995709158,5,1,790,201
binari,[binary],0.7873620986938477,0.3125,0.02427184395492077,0.04504504383049337,5,11,780,201
comment,[comment],0.7863590717315674,0.29411765933036804,0.02427184395492077,0.044843048266303115,5,12,779,201
file,[file],0.7833500504493713,0.25,0.02427184395492077,0.044247786438680305,5,15,776,201
classpath,[classpath],0.7833500504493713,0.25,0.02427184395492077,0.044247786438680305,5,15,776,201
index,[index; indexer; indexing],0.7823470234870911,0.2380952388048172,0.02427184395492077,0.04405286228663246,5,16,775,201
class,[class; classes],0.779338002204895,0.2083333283662796,0.02427184395492077,0.04347825962986748,5,19,772,201
express,[expression],0.7693079113960266,0.14705882966518402,0.02427184395492077,0.041666665873748954,5,29,762,201
manag,[manager],0.7923771142959595,0.4444444477558136,0.019417475908994675,0.03720930266921877,4,5,786,202
constructor,[constructor],0.7923771142959595,0.4444444477558136,0.019417475908994675,0.03720930266921877,4,5,786,202
formatt,[formatter],0.791374146938324,0.4000000059604645,0.019417475908994675,0.037037037391552834,4,6,785,202
default,[default],0.7873620986938477,0.2857142984867096,0.019417475908994675,0.03636363678419392,4,10,781,202
unit,[unit],0.7823470234870911,0.21052631735801697,0.019417475908994675,0.03555555588109993,4,15,776,202
of,[of],0.7813440561294556,0.20000000298023224,0.019417475908994675,0.035398230435671973,4,16,775,202
variabl,[variables; variable],0.7713139653205872,0.13333334028720856,0.019417475908994675,0.03389830558505406,4,26,765,202
javadoc,[javadoc],0.7693079113960266,0.125,0.019417475908994675,0.03361344564911016,4,28,763,202
oper,[operation; operator],0.7652958631515503,0.1111111119389534,0.019417475908994675,0.033057851538384725,4,32,759,202
annot,[annotation; annotations],0.7622868418693542,0.10256410390138626,0.019417475908994675,0.032653061547958565,4,35,756,202
convent,[conventions],0.7963891625404358,1.0,0.014563106931746006,0.02870813423481942,3,0,791,203
imag,[image],0.7953861355781555,0.75,0.014563106931746006,0.02857142883245232,3,1,790,203
project,[project],0.79438316822052,0.6000000238418579,0.014563106931746006,0.02843601924267739,3,2,789,203
visitor,[visitor],0.7923771142959595,0.4285714328289032,0.014563106931746006,0.02816901434742621,3,4,787,203
environ,[environment],0.791374146938324,0.375,0.014563106931746006,0.028037383428927136,3,5,786,203
model,[model],0.791374146938324,0.375,0.014563106931746006,0.028037383428927136,3,5,786,203
alloc,[allocation],0.791374146938324,0.375,0.014563106931746006,0.028037383428927136,3,5,786,203
parameter,[parameterized],0.7893680930137634,0.30000001192092896,0.014563106931746006,0.027777778075602985,3,7,784,203
messag,[message; messages],0.7883650660514832,0.27272728085517883,0.014563106931746006,0.027649769871479546,3,8,783,203
super,[super],0.7883650660514832,0.27272728085517883,0.014563106931746006,0.027649769871479546,3,8,783,203
flow,[flow],0.7883650660514832,0.27272728085517883,0.014563106931746006,0.027649769871479546,3,8,783,203
rewrit,[rewrite],0.7873620986938477,0.25,0.014563106931746006,0.02752293602203407,3,9,782,203
